company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
 KT Koty,K87165,04/19/2015,04/12/2015,19184.42,Charlie Hamill,Et sapiente rerum.,rejected,internal;important;negligible
Wesoła Gżegżółka,W5407,2014-08-07,2014-08-01,19854.69,Torrey Schuster,Id nobis possimus voluptas qui quibusdam.,accepted,""
Big Company 1,B18660,2013-10-17,2013-10-16,19654.6,Jermain Champlin,"Velit explicabo repellat qui impedit dolorem.
Possimus aut harum.
Et et velit rerum sapiente aliquam et.",accepted,internal;Client;negligible
Comcast,C89887,28-01-2013,20-01-2013,14702.65,Kimberly Bins,Accusamus dolorem labore sint sit quia voluptatem ipsa.,other,other;client;Negligible;delegation;internal
 Wesoła Gżegżółka,W12453,02/26/2013,02/21/2013,11641.47,Ms. Osvaldo Friesen,Repudiandae est aut eos esse ut est.,rejected,important;internal;client;Delegation;negligible
MS Szpadel,M74265,2013-10-31,2013-10-31,14375.85,Terence Swift,"Incidunt reprehenderit ipsam nihil.
Quia voluptatum in.
Mollitia assumenda non.",rejected,delegation;negligible;Client;important;Other
 MS Szpadel,M86298,09/30/2012,09/30/2012,13137.91,Zoey Beer,"Et dolores sed rerum non.
Ea est ipsa.
Repellendus sed rerum vel.",accepted,negligible;Delegation
 Wesoła Gżegżółka,W77540,2015-03-18,2015-03-14,10248.89,Ana Wintheiser IV,Ex minus suscipit iure totam voluptatum excepturi a.,other,other
 SB Komputery,S4907,2014-10-17,2014-10-13,11032.53,Karen Willms,"Consequatur voluptatem maxime at nisi voluptates.
Dolor esse molestiae.
Tempora quia delectus eos fuga atque.
Omnis quos temporibus unde.",other,client;negligible;delegation;important
KT Koty,K55378,28-09-2012,24-09-2012,13076.11,Leila Waters Jr.,Explicabo dolorum dolore quidem voluptatem.,rejected,important;Client;internal
 MS Szpadel,M91793,07/11/2013,07/04/2013,16218.51,Savannah Davis DDS,"Vel harum inventore et velit.
Recusandae tempore quam nihil earum voluptatem dolor.
Alias labore earum corrupti consequuntur qui deserunt odit.",rejected,Other
 ACME,A80508,09/02/2014,09/02/2014,17270.10,Vena Heathcote,Libero nobis fuga facere cupiditate illo aut.,other,""
KT Koty,K1724,21-06-2014,14-06-2014,17474.39,Ryan Kessler I,"Consequatur quis ea voluptas quia voluptatem aut.
Omnis sapiente necessitatibus vel qui consequuntur eaque.",other,important;Other;delegation;Negligible;internal
 KT Koty,K80428,2012-12-26,2012-12-24,19757.70,Dr. Maud Klocko,"Est aut et.
Velit blanditiis velit.
Molestias labore ipsum ducimus aperiam cumque.",other,""
 Big Company 1,B70579,01/22/2015,01/17/2015,12115.30,Ms. Enid Zulauf,"Debitis incidunt laudantium maxime illo ut dolorem repellat.
Ea nostrum aut quas qui dolorem dolores.
Optio nisi ex.",rejected,Important;delegation;internal
TT Internet,T85712,08/21/2013,08/18/2013,17106.74,Mrs. Archibald Dickinson,Dolore quidem laudantium fuga harum accusamus maiores.,other,Negligible;important;other;internal;delegation
 Ostrzy Entertainment,O73276,2015-04-30,2015-04-29,19044.64,Christa Emmerich,Ipsum et impedit culpa aut.,accepted,negligible
 KT Koty,K48856,2013-09-07,2013-09-01,17817.91,Mrs. Nicolas Jacobi,Quis eum aut iure natus.,other,Other;client;internal;negligible
Wesoła Gżegżółka,W10300,06/23/2013,06/15/2013,19865.38,Jakayla Rosenbaum,Reiciendis ducimus excepturi sint voluptatem doloribus.,rejected,Important;internal
KT Koty,K59706,2014-05-30,2014-05-26,17217.88,Malcolm Hamill,"Totam dignissimos facilis ut architecto suscipit.
Id fugiat expedita culpa sed.
Nemo sint debitis quibusdam quisquam itaque est.
Quasi at soluta quia debitis.",accepted,other;client
 BP Biznes,B97635,10/25/2012,10/24/2012,15985.3,Kayden Schulist,Sint impedit occaecati provident aut est est vitae.,rejected,client;negligible;internal;delegation;Important
 Wesoła Gżegżółka,W44901,26-12-2013,25-12-2013,16361.51,Amelia Wiegand,Fuga consectetur temporibus nesciunt amet dicta.,other,important;internal
SB Komputery,S64226,2014-06-15,2014-06-15,19085.65,Mrs. Jamel Boyle,"Fugiat animi omnis qui quia quidem et.
Quaerat mollitia est.
Praesentium animi quia aut excepturi quaerat.",accepted,""
 ACME,A89916,22-04-2013,16-04-2013,17846.44,Virginie Considine DVM,Corrupti facilis aut neque inventore eveniet et a.,rejected,client;delegation;important
" Monterail, Inc.",M37114,01/26/2014,01/23/2014,13923.15,Dr. Spencer Jones,"Voluptas pariatur sunt reiciendis veniam.
Omnis commodi accusamus amet exercitationem laborum in.
Voluptatibus non accusamus aperiam dolores quia nesciunt.
Sed voluptas rerum.",rejected,Negligible;Important;other;internal
 Big Company 1,B79053,2014-09-27,2014-09-21,10441.15,Mrs. Lourdes Upton,Ea recusandae consequatur at et mollitia.,accepted,Delegation
 Microsoft,M31794,03/02/2013,02/21/2013,15951.7,Colin Feest,Sed aut et voluptate sit magnam id.,accepted,""
 Company X,C84494,2014-10-09,2014-10-04,15987.86,Enoch Raynor,Rem aut ducimus corrupti minus blanditiis.,rejected,important;Internal
 Comcast,C83230,2014-12-09,2014-12-07,16012.16,Mrs. Annamae Kertzmann,Est laudantium sequi consectetur veritatis voluptatem.,accepted,important;other;negligible;internal
BP Biznes,B7743,07/10/2014,07/05/2014,11137.60,Jess Bruen,Aut quis sint aperiam cumque recusandae facilis.,accepted,Client;Delegation;internal;important;negligible
 Ostrzy Entertainment,O90338,13-11-2014,13-11-2014,13719.16,Miss Colleen Nitzsche,Esse recusandae aut magni.,other,other;internal
BP Biznes,B13295,19-11-2013,16-11-2013,10330.80,Ms. Jamir Hansen,Quas aut est libero quisquam.,other,client;important;delegation;internal;other
 Big Company 1,B74703,2014-02-09,2014-02-05,19589.84,Myles Murazik III,Suscipit magnam consequatur tenetur qui.,rejected,negligible;delegation
 Ostrzy Entertainment,O70713,27-05-2015,21-05-2015,13701.12,Mrs. Carlee Schoen,"Qui maxime inventore modi similique ab est atque.
Deserunt eos et minus animi expedita doloribus.
Odit modi sint in nam veniam dolorum placeat.",other,internal
Microsoft,M78241,2014-11-18,2014-11-13,17443.54,Candelario Rath,Nihil repudiandae hic quaerat ad.,rejected,""
 ACME,A76512,06-09-2012,29-08-2012,19959.99,Garrison Ratke,Libero asperiores voluptatem quia.,accepted,other;internal;delegation
 MS Szpadel,M43860,02/24/2014,02/21/2014,12267.62,Alayna Roberts I,Quia praesentium velit illum aliquid assumenda.,other,Delegation;Client
Comcast,C74074,05/27/2013,05/18/2013,10590.62,Dorothea Kuphal DVM,Consequatur quos mollitia alias maiores velit quam fuga.,other,Other;delegation;Client
" Monterail, Inc.",M60760,2013-09-12,2013-09-04,11028.62,Dr. Leopold Leuschke,Sed et consequatur ab quisquam incidunt.,other,""
Microsoft,M8713,2013-07-31,2013-07-29,17778.19,Nathan Kulas,Perspiciatis laborum accusamus aut cupiditate ipsa.,rejected,internal;client;Negligible
SB Komputery,S32896,07-10-2013,04-10-2013,10234.43,Jacques Will,"Odio cupiditate et.
Laboriosam nemo quae quos itaque ipsam voluptatem.
Pariatur sapiente et quia eius.
Et rerum quas possimus error quia corporis dolor.",other,Client;other;delegation
KT Koty,K63865,04/23/2013,04/15/2013,10243.0,Jadon Little,"Quidem sed delectus debitis nisi.
Enim consequatur minima error aperiam.
Tempora sit rerum laboriosam suscipit fuga.
Et totam ut atque.",other,other;negligible;important;client;delegation
BP Biznes,B20584,23-10-2012,23-10-2012,10758.70,Kaley Abshire,Laborum nihil animi.,rejected,internal;Client
Comcast,C48817,23-12-2014,22-12-2014,15968.12,Eriberto Gerhold,Ipsam laboriosam sunt quo et tenetur quasi molestias.,other,negligible;internal;other;client
 MS Szpadel,M16190,19-12-2012,11-12-2012,14777.71,Willa O'Hara,In molestiae expedita quisquam magni.,other,important;internal;client;delegation;negligible
Ostrzy Entertainment,O49183,2013-12-13,2013-12-13,15696.26,Violette Wilderman IV,"Qui iure ea.
Excepturi consequuntur accusantium.
Porro corporis velit perspiciatis et architecto ipsum.",rejected,internal;Delegation
 Wesoła Gżegżółka,W20231,2012-11-15,2012-11-13,16193.34,Sheldon Dare,"Et est eveniet est.
Nisi nihil quas rerum aut.",rejected,important;client;negligible;delegation
Wesoła Gżegżółka,W50876,2014-03-21,2014-03-18,13129.87,Miss Winona Leffler,"Eius recusandae et minima corporis dolor dicta.
Omnis eius vel eligendi nobis doloremque asperiores.
Laborum quibusdam illum libero totam.",rejected,""
 Company X,C53789,11-05-2013,04-05-2013,10176.35,Ms. Christopher Powlowski,Accusamus nostrum et libero ullam ipsa inventore.,other,""
 Big Company 1,B64695,04/21/2015,04/16/2015,16015.22,Andreanne Rempel Sr.,"Nostrum voluptatem recusandae deleniti laudantium ipsum praesentium ipsam.
Est dolores modi placeat officia.
Error totam nulla qui et sint autem necessitatibus.
Rerum vero aliquam.",rejected,internal;client;Other
 MS Szpadel,M22837,01/12/2014,01/06/2014,13883.21,Louvenia Nikolaus,Exercitationem reiciendis eos facilis porro enim aut.,other,other;negligible;Client;Internal
 Wesoła Gżegżółka,W80179,2012-09-12,2012-09-12,10116.49,Laila Wunsch PhD,Rerum officia sit eos totam omnis est.,other,client;negligible;other;Important
BP Biznes,B77470,11/17/2013,11/10/2013,10947.32,Verna Pacocha,Et vel fuga sapiente asperiores laborum consequatur.,other,Client;delegation;negligible;internal;Important
Wesoła Gżegżółka,W23656,09/20/2012,09/16/2012,15089.77,King Deckow MD,"Aperiam provident voluptatem quo tenetur illum.
Fuga omnis occaecati.
Ut reprehenderit pariatur expedita.",rejected,client;important;internal
 MS Szpadel,M57712,02-04-2013,29-03-2013,12954.72,Mrs. Nicola O'Connell,Sit consequatur aut non.,other,delegation;client
 Company X,C77555,13-03-2013,11-03-2013,13957.48,Mohammed Hills,Odio enim ut sit.,rejected,client;Negligible
SB Komputery,S69253,10-08-2013,09-08-2013,16666.2,Ms. Cornelius Schmidt,Delectus accusantium est sit ab voluptatibus nulla.,rejected,""
Microsoft,M47454,2015-02-03,2015-01-25,17310.7,Christophe Hahn,Veritatis consequuntur sunt architecto deleniti minus.,rejected,""
TT Internet,T87710,2013-04-14,2013-04-09,12741.50,Al Schaefer,Autem magnam voluptatibus.,other,negligible
 Big Company 1,B87988,09/02/2013,08/29/2013,18454.56,Piper Wunsch,Illum et sapiente pariatur ut.,accepted,important;internal;Client;Other
Big Company 1,B30371,22-07-2014,20-07-2014,18175.78,Kadin Quigley IV,Ullam molestias autem quasi sed id distinctio.,rejected,delegation
ACME,A770,19-01-2014,17-01-2014,17588.72,Cordell Leannon,Et quibusdam quia assumenda dolorum itaque.,accepted,""
 BP Biznes,B2624,2013-08-03,2013-08-02,11033.16,Mr. Krystina Veum,"Alias harum fugit perferendis necessitatibus suscipit.
Deleniti quia occaecati quo eos dicta.
Voluptatem voluptatem sapiente ea.
Repellat vel et sint aspernatur totam est aperiam.",accepted,other;delegation;Important;negligible
 MS Szpadel,M48333,09/02/2014,08/26/2014,16319.6,Maddison Runolfsdottir,"Voluptatem nobis sed quia harum laboriosam voluptate beatae.
Blanditiis omnis sed.
Magnam harum voluptate vitae accusamus culpa illo autem.
Esse molestiae voluptatem.",accepted,Important;Client;internal;negligible;other
 Microsoft,M23046,12/23/2014,12/14/2014,13466.47,Zachary Sawayn II,"Aut quo voluptatem fugiat voluptas dolor.
Repudiandae vero placeat minima.
Ea sit id recusandae optio veritatis facere.",accepted,""
Wesoła Gżegżółka,W28487,27-11-2012,,19434.4,Pete Adams,"Eveniet harum voluptates fugiat laudantium est error.
Quasi molestias quidem.
Similique atque harum molestiae natus architecto ut quia.",other,important;other;Internal;delegation;Client
 Ostrzy Entertainment,O19476,21-01-2013,14-01-2013,11946.52,Aiyana Daniel,Deserunt laudantium aperiam omnis cum dolore doloribus.,accepted,""
 Company X,C3656,2013-06-09,2013-06-06,18128.4,Bo Adams,Perspiciatis enim sunt cumque pariatur et.,other,important;negligible;client;delegation
 TT Internet,T80531,2014-06-28,2014-06-26,15505.62,Iva Leannon,"Id molestiae officia saepe fugit.
Qui quod illum eius quaerat neque sequi in.
Rerum itaque necessitatibus sint.
Est deleniti veniam est non similique quis nihil.",other,internal;Negligible;important;client
MS Szpadel,M7842,2015-01-31,2015-01-22,18903.16,Alessandro Barrows IV,"Maxime eius sed qui omnis dolores delectus corporis.
Sequi error eaque porro occaecati repellendus.
Nisi qui dolore cupiditate omnis nemo culpa earum.
Sint nam quam.",accepted,negligible;Client;internal;other
 Microsoft,M39979,09/30/2013,09/23/2013,10438.77,Gilbert Rowe,"Reiciendis qui corrupti.
Atque neque perferendis placeat eveniet aspernatur autem.",other,Delegation;Important;negligible;other
 KT Koty,K69890,07/18/2013,07/12/2013,11485.92,Jayden Johnston,"Corporis minima qui voluptatibus aut.
Sed quam dolorum molestiae illo ut sint.
Ullam omnis sit magni in autem maiores.",other,""
BP Biznes,B85318,08-11-2013,08-11-2013,15909.70,Flavie Weissnat,"Similique repellendus dolorem in numquam magni.
Porro qui repudiandae voluptas illum.
Dolor qui vitae reprehenderit debitis expedita enim.
Fugiat asperiores consequuntur quia voluptatem atque.",accepted,Delegation;Internal;client
MS Szpadel,M7120,2012-11-22,2012-11-13,12076.23,Felix Beahan,Voluptate ut temporibus eos asperiores debitis.,rejected,delegation;negligible;client;internal;important
TT Internet,T76863,16-09-2013,11-09-2013,19567.90,Sydnee Schaefer DDS,Soluta in dicta enim laboriosam ut voluptatibus.,rejected,other;Delegation;internal
Wesoła Gżegżółka,W64141,17-09-2013,15-09-2013,17239.32,Jovany Lemke,Corporis sed sed.,accepted,negligible;client;other;delegation;Important
Microsoft,M47193,05/17/2015,05/10/2015,15077.94,Miss Ewell Grimes,Atque cumque provident quia quidem et.,other,negligible;internal;delegation;client;other
 Ostrzy Entertainment,O12304,28-02-2015,20-02-2015,14926.90,Johnathon Greenholt V,"Deserunt illum omnis non unde eius.
Odit eveniet sit veniam quia quibusdam illum.
At et ipsum ut aut.",rejected,""
 Wesoła Gżegżółka,W31458,03/25/2014,03/21/2014,15787.23,Valerie Wisozk,Sit eaque sequi facilis laboriosam ea ut sapiente.,accepted,delegation;other
 TT Internet,T42498,02/11/2013,02/06/2013,17646.98,Sharon Moen,Magni aut distinctio.,accepted,Delegation;Client;internal;negligible
 Company X,C84605,2012-09-30,2012-09-24,14312.15,Alvina McClure,"Qui voluptate architecto non.
Assumenda porro adipisci eveniet aliquam.
Ut reprehenderit ipsum voluptates odit.",rejected,internal;Other;important;client;negligible
"Monterail, Inc.",M57911,2013-12-24,2013-12-22,14139.36,Ashton Marks,Ratione sed qui quisquam autem et.,accepted,Client;Important;Other;Delegation
Ostrzy Entertainment,O52153,12/05/2014,11/30/2014,18096.3,Elmer Heathcote Sr.,"Ut ullam ut voluptatem mollitia.
Possimus in incidunt dolorem consequuntur iure amet.",rejected,negligible;Important
TT Internet,T58619,02/17/2014,02/11/2014,10160.78,Terence Mitchell,"Consequatur placeat quo dignissimos.
Asperiores velit repellendus.",accepted,important;negligible;Other;client
 SB Komputery,S8703,2014-08-29,2014-08-21,19344.31,Brandi Hegmann,Rem corporis dolorum cum.,accepted,Delegation;other;negligible;important;client
Company X,C7403,2013-11-18,2013-11-17,15473.15,Jaron McKenzie Sr.,Ut et officiis totam rem et corrupti et.,rejected,""
MS Szpadel,M67077,12/07/2014,12/06/2014,11265.93,Kaden Larkin,Et suscipit minus dolorum eligendi repellendus.,other,Delegation;client;other;Internal
Wesoła Gżegżółka,W89302,27-10-2014,23-10-2014,17458.8,Rita Dickinson PhD,Eum fuga doloribus aut harum reprehenderit voluptatibus.,other,important;Negligible;delegation;Client;other
 Company X,C37154,03/08/2013,03/08/2013,18324.34,Kaleb Runte,"Soluta modi et.
Quo excepturi molestiae asperiores rem.
Blanditiis distinctio eum deserunt cumque mollitia sed quo.
Error consequatur libero dolores.",rejected,""
 Microsoft,M72899,2014-08-11,2014-08-04,13619.29,Zoey Walker,Harum aut doloremque et ut molestiae.,rejected,negligible;internal;important;client
" Monterail, Inc.",M29458,2014-04-14,2014-04-07,13555.93,Anna Weber,"Aut tenetur rem qui nihil ea.
Culpa necessitatibus qui optio dolores voluptate at.
Dolorem odio impedit.",rejected,internal;Important;Other
 Big Company 1,B12596,04-01-2013,28-12-2012,14737.43,Samson Stiedemann,Earum fugit et corrupti.,rejected,Other;Internal;negligible
 Ostrzy Entertainment,O36237,02/24/2013,02/21/2013,11737.45,Kaylah Reynolds DVM,Laudantium provident quos et dolorem repellat rerum.,other,""
Microsoft,M83579,10-11-2012,05-11-2012,15703.86,Christelle Crooks,Harum modi sed eius culpa nam ab est.,other,delegation;other;Client;Negligible
 Big Company 1,B17239,02/24/2015,02/21/2015,15779.66,Jodie Harber,Id fugit ab sint unde neque nesciunt.,accepted,Negligible;client
 KT Koty,K82828,2015-01-21,2015-01-13,12559.91,Keshawn Macejkovic,Veritatis porro velit quia quia eum recusandae.,other,Important;client
 MS Szpadel,M40777,04/20/2013,04/20/2013,19871.13,Miss Hyman Bergnaum,"Explicabo dolorem nulla.
Ea modi veniam aperiam.",other,delegation
Wesoła Gżegżółka,W83204,2015-05-01,2015-05-01,15631.41,Marquis Schuster,"Eaque sunt doloribus nobis non qui.
Suscipit earum sapiente ipsam quo possimus.",other,Important
 Company X,C33913,30-03-2014,22-03-2014,18744.71,D'angelo Crooks,Repellat ullam in velit provident.,other,internal;Client;other;Negligible;important
Ostrzy Entertainment,O7202,07-08-2014,03-08-2014,15958.49,Caesar Osinski Jr.,"Et voluptas quam.
Facilis fuga incidunt.
Autem laudantium cupiditate blanditiis doloremque.",rejected,Important;client;other;negligible
 TT Internet,T44285,2013-04-10,2013-04-07,12841.86,Marvin Klocko DDS,Sint quam enim quisquam esse in voluptatem aut.,rejected,delegation;Other;internal
SB Komputery,S46201,23-01-2015,21-01-2015,10027.3,Bonnie Goldner MD,"Quia explicabo iure blanditiis asperiores perspiciatis veritatis aliquid.
Incidunt voluptatem nesciunt quos quisquam.
Ipsum a rem enim.
Debitis aspernatur et cupiditate animi.",rejected,other
" Monterail, Inc.",M60985,22-06-2013,14-06-2013,12832.75,Murl Wolf PhD,"Quisquam quia ea eos et dolorem consequatur qui.
Officiis corporis sint esse.
Voluptatem odio quis nemo quod.
Quis repudiandae consequuntur commodi sapiente repellendus iste qui.",accepted,""
MS Szpadel,M71707,2014-09-16,2014-09-09,13948.69,Darian Stamm,Optio voluptatem distinctio dicta repudiandae dolores animi aut.,accepted,internal;negligible;Important
